date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:05	146776/146776	---M--	200	added ('OK')	text/html	etag:%2262796649-23d58%22	https://donate.thedigital.gov.ua/	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/index.html	(from )
17:43:05	146776/146776	---M--	200	added ('OK')	text/html	etag:%2262796649-23d58%22	https://donate.thedigital.gov.ua/robots.txt		(from )
17:43:05	3033/3033	---M--	200	added ('OK')	image/svg+xml	etag:%2262796644-bd9%22	https://donate.thedigital.gov.ua/safari-pinned-tab.svg	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/safari-pinned-tab.svg	(from https://donate.thedigital.gov.ua/)
17:43:06	427/427	---M--	200	added ('OK')	application/octet-stream	etag:%2262796644-1ab%22	https://donate.thedigital.gov.ua/site.webmanifest	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/site.webmanifest	(from https://donate.thedigital.gov.ua/)
17:43:06	662/662	---M--	200	added ('OK')	image/png	etag:%2262796644-296%22	https://donate.thedigital.gov.ua/favicon-16x16.png	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/favicon-16x16.png	(from https://donate.thedigital.gov.ua/)
17:43:07	1161/1161	---M--	200	added ('OK')	image/png	etag:%2262796644-489%22	https://donate.thedigital.gov.ua/favicon-32x32.png	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/favicon-32x32.png	(from https://donate.thedigital.gov.ua/)
17:43:07	6136/6136	---M--	200	added ('OK')	image/png	etag:%2262796644-17f8%22	https://donate.thedigital.gov.ua/apple-touch-icon.png	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/apple-touch-icon.png	(from https://donate.thedigital.gov.ua/)
17:43:08	109833/109833	---M--	200	added ('OK')	image/jpeg	etag:%2262796624-1ad09%22	https://donate.thedigital.gov.ua/static/og-image-9200d405a258915cd2b11a01bf5a2c9d.jpg	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/og-image-9200d405a258915cd2b11a01bf5a2c9d.jpg	(from https://donate.thedigital.gov.ua/)
17:43:08	44432/44432	---M--	200	added ('OK')	font/woff2	etag:%2262796624-ad90%22	https://donate.thedigital.gov.ua/static/BanderaPro-Italic-8dc4e4d29542634ffce5866b8587e7d0.woff2	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/BanderaPro-Italic-8dc4e4d29542634ffce5866b8587e7d0.woff2	(from https://donate.thedigital.gov.ua/)
17:43:08	41404/41404	---M--	200	added ('OK')	font/woff2	etag:%2262796624-a1bc%22	https://donate.thedigital.gov.ua/static/BanderaPro-bb5e5f617cbc99ee86aaaa248e9b3797.woff2	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/BanderaPro-bb5e5f617cbc99ee86aaaa248e9b3797.woff2	(from https://donate.thedigital.gov.ua/)
17:43:09	37592/37592	---M--	200	added ('OK')	font/woff2	etag:%2262796624-92d8%22	https://donate.thedigital.gov.ua/static/OsnovaPro-408d3285a1fd7964ae6740b5053a1625.woff2	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/OsnovaPro-408d3285a1fd7964ae6740b5053a1625.woff2	(from https://donate.thedigital.gov.ua/)
17:43:09	36756/36756	---M--	200	added ('OK')	font/woff2	etag:%2262796624-8f94%22	https://donate.thedigital.gov.ua/static/OsnovaProMedium-bdbaa307df4ad7542ed795eb19ab7515.woff2	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/OsnovaProMedium-bdbaa307df4ad7542ed795eb19ab7515.woff2	(from https://donate.thedigital.gov.ua/)
17:43:10	35337/35337	---M--	200	added ('OK')	image/jpeg	etag:%2262796624-8a09%22	https://donate.thedigital.gov.ua/static/bg-b339ceb9cdf314bc57ce89f092a4dede.jpg	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/bg-b339ceb9cdf314bc57ce89f092a4dede.jpg	(from https://donate.thedigital.gov.ua/)
17:43:10	6453/6453	---M--	200	added ('OK')	application/javascript	etag:%2262796624-1935%22	https://donate.thedigital.gov.ua/webpack-runtime-0bc948b68f86442f0716.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/webpack-runtime-0bc948b68f86442f0716.js	(from https://donate.thedigital.gov.ua/)
17:43:11	130532/130532	---M--	200	added ('OK')	application/javascript	etag:%2262796624-1fde4%22	https://donate.thedigital.gov.ua/framework-d9b093309510bbd6a081.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/framework-d9b093309510bbd6a081.js	(from https://donate.thedigital.gov.ua/)
17:43:11	69199/69199	---M--	200	added ('OK')	application/javascript	etag:%2262796624-10e4f%22	https://donate.thedigital.gov.ua/app-7b42aca7260bb8aa3a41.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/app-7b42aca7260bb8aa3a41.js	(from https://donate.thedigital.gov.ua/)
17:43:12	152157/152157	---M--	200	added ('OK')	application/javascript	etag:%2262796624-2525d%22	https://donate.thedigital.gov.ua/91472edf-010c587864c3571136a9.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/91472edf-010c587864c3571136a9.js	(from https://donate.thedigital.gov.ua/)
17:43:12	604303/604303	---M--	200	added ('OK')	application/javascript	etag:%2262796624-9388f%22	https://donate.thedigital.gov.ua/061e6b60-e84090297980fe656f0d.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/061e6b60-e84090297980fe656f0d.js	(from https://donate.thedigital.gov.ua/)
17:43:12	109031/109031	---M--	200	added ('OK')	application/javascript	etag:%2262796624-1a9e7%22	https://donate.thedigital.gov.ua/8015bd09-5d0f7936e4d4f8aadc84.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/8015bd09-5d0f7936e4d4f8aadc84.js	(from https://donate.thedigital.gov.ua/)
17:43:13	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/f7fd0995-a8bfb571c950ea7b1df1.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/f7fd0995-a8bfb571c950ea7b1df1.js	(from https://donate.thedigital.gov.ua/)
17:43:13	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/79312bba-571eeaf6388bb9d00792.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/79312bba-571eeaf6388bb9d00792.js	(from https://donate.thedigital.gov.ua/)
17:43:14	73729/73729	---M--	200	added ('OK')	application/javascript	etag:%2262796624-12001%22	https://donate.thedigital.gov.ua/a5cab8d3-f2a2a7a6cfe360c097ac.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/a5cab8d3-f2a2a7a6cfe360c097ac.js	(from https://donate.thedigital.gov.ua/)
17:43:14	73728/73728	---M--	200	added ('OK')	application/javascript	etag:%2262796624-12000%22	https://donate.thedigital.gov.ua/a3f910ba-6d0df544e5ae2d8f7fad.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/a3f910ba-6d0df544e5ae2d8f7fad.js	(from https://donate.thedigital.gov.ua/)
17:43:15	73729/73729	---M--	200	added ('OK')	application/javascript	etag:%2262796624-12001%22	https://donate.thedigital.gov.ua/d0358ebe-77968bf9844bf5a44e62.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/d0358ebe-77968bf9844bf5a44e62.js	(from https://donate.thedigital.gov.ua/)
17:43:15	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/a7c91fa1-6ef2eec03ee69617a2aa.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/a7c91fa1-6ef2eec03ee69617a2aa.js	(from https://donate.thedigital.gov.ua/)
17:43:15	73729/73729	---M--	200	added ('OK')	application/javascript	etag:%2262796624-12001%22	https://donate.thedigital.gov.ua/839fce4b-525044e1d6dff67c2603.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/839fce4b-525044e1d6dff67c2603.js	(from https://donate.thedigital.gov.ua/)
17:43:16	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/66da51db-bdc48f1733ecccc8e864.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/66da51db-bdc48f1733ecccc8e864.js	(from https://donate.thedigital.gov.ua/)
17:43:16	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/16707403-e120f336a692d2511664.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/16707403-e120f336a692d2511664.js	(from https://donate.thedigital.gov.ua/)
17:43:16	73694/73694	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fde%22	https://donate.thedigital.gov.ua/1f25fb04-e2cf69ee320bed23c8d8.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/1f25fb04-e2cf69ee320bed23c8d8.js	(from https://donate.thedigital.gov.ua/)
17:43:17	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/0fc6fe67-1685b2bd21048cedff40.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/0fc6fe67-1685b2bd21048cedff40.js	(from https://donate.thedigital.gov.ua/)
17:43:18	73694/73694	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fde%22	https://donate.thedigital.gov.ua/e3ae4fdb-58333093ed7145fa43fb.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/e3ae4fdb-58333093ed7145fa43fb.js	(from https://donate.thedigital.gov.ua/)
17:43:18	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/1385979a-a334d6ea6d803b8a5ec9.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/1385979a-a334d6ea6d803b8a5ec9.js	(from https://donate.thedigital.gov.ua/)
17:43:18	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/10023563-97dc1178de6e74c0f390.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/10023563-97dc1178de6e74c0f390.js	(from https://donate.thedigital.gov.ua/)
17:43:19	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/d8158746-d21af01654cfb2fa63b9.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/d8158746-d21af01654cfb2fa63b9.js	(from https://donate.thedigital.gov.ua/)
17:43:19	73693/73693	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdd%22	https://donate.thedigital.gov.ua/46587f98-95eced336cd8e70d0d12.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/46587f98-95eced336cd8e70d0d12.js	(from https://donate.thedigital.gov.ua/)
17:43:19	73695/73695	---M--	200	added ('OK')	application/javascript	etag:%2262796624-11fdf%22	https://donate.thedigital.gov.ua/adad2a10-35bbce72da09919951d2.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/adad2a10-35bbce72da09919951d2.js	(from https://donate.thedigital.gov.ua/)
17:43:20	228866/228866	---M--	200	added ('OK')	application/javascript	etag:%2262796624-37e02%22	https://donate.thedigital.gov.ua/922edf34-be062b6b3737e5889ba4.js	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/922edf34-be062b6b3737e5889ba4.js	(from https://donate.thedigital.gov.ua/)
17:43:21	205/205	---M--	200	added ('OK')	application/json	etag:%2262796644-cd%22	https://donate.thedigital.gov.ua/page-data/index/page-data.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/index/page-data.json	(from https://donate.thedigital.gov.ua/)
17:43:21	2405/2405	---M--	200	added ('OK')	application/json	etag:%2262796643-965%22	https://donate.thedigital.gov.ua/page-data/sq/d/2132729620.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/sq/d/2132729620.json	(from https://donate.thedigital.gov.ua/)
17:43:22	3316/3316	---M--	200	added ('OK')	application/json	etag:%2262796643-cf4%22	https://donate.thedigital.gov.ua/page-data/sq/d/2783870372.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/sq/d/2783870372.json	(from https://donate.thedigital.gov.ua/)
17:43:22	286/286	---M--	200	added ('OK')	application/json	etag:%2262796643-11e%22	https://donate.thedigital.gov.ua/page-data/sq/d/3395836686.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/sq/d/3395836686.json	(from https://donate.thedigital.gov.ua/)
17:43:22	91/91	---M--	200	added ('OK')	application/json	etag:%2262796643-5b%22	https://donate.thedigital.gov.ua/page-data/sq/d/3649515864.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/sq/d/3649515864.json	(from https://donate.thedigital.gov.ua/)
17:43:23	34165/34165	---M--	200	added ('OK')	application/json	etag:%2262796643-8575%22	https://donate.thedigital.gov.ua/page-data/sq/d/4268659861.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/sq/d/4268659861.json	(from https://donate.thedigital.gov.ua/)
17:43:23	50/50	---M--	200	added ('OK')	application/json	etag:%2262796644-32%22	https://donate.thedigital.gov.ua/page-data/app-data.json	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/page-data/app-data.json	(from https://donate.thedigital.gov.ua/)
17:43:24	12584/12584	---M--	200	added ('OK')	image/svg+xml	etag:%2262796624-3128%22	https://donate.thedigital.gov.ua/static/logo-e48ea93d770e370520fad32e653e4933.svg	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/logo-e48ea93d770e370520fad32e653e4933.svg	(from https://donate.thedigital.gov.ua/)
17:43:24	8993/8993	---MCZ	200	added ('OK')	text/html	etag:%222321-Eqq4Au+cWNGuaMrn/UfPKrZagqo%22	https://donate.thedigital.gov.ua/nft	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/nft.html	(from https://donate.thedigital.gov.ua/)
17:43:24	113987/113987	---M--	200	added ('OK')	image/svg+xml	etag:%2262796624-1bd43%22	https://donate.thedigital.gov.ua/static/icons-dd4be5d16911d0bcfbc5335bb8312d23.svg	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/icons-dd4be5d16911d0bcfbc5335bb8312d23.svg	(from https://donate.thedigital.gov.ua/)
17:43:25	15590/15590	---M--	200	added ('OK')	image/svg+xml	etag:%2262796624-3ce6%22	https://donate.thedigital.gov.ua/static/partners-e5a873394986d31966202f2887f3a9aa.svg	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/partners-e5a873394986d31966202f2887f3a9aa.svg	(from https://donate.thedigital.gov.ua/)
17:43:25	1653/1653	---M--	200	added ('OK')	image/png	etag:%2262796643-675%22	https://donate.thedigital.gov.ua/static/7bf6733eaccadd41f4699c03dc60ea9e/1c9ce/fedorov.png	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/7bf6733eaccadd41f4699c03dc60ea9e/1c9ce/fedorov.png	(from https://donate.thedigital.gov.ua/)
17:43:25	2036/2036	---M--	200	added ('OK')	image/png	etag:%2262796644-7f4%22	https://donate.thedigital.gov.ua/static/1d2c0fb0b41525118ef808f02c6f32b5/1c9ce/mike.png	C:/My%20Web%20Sites/https___donate.thedigital.gov.ua_/donate.thedigital.gov.ua/static/1d2c0fb0b41525118ef808f02c6f32b5/1c9ce/mike.png	(from https://donate.thedigital.gov.ua/)
